RegionID,DKTID,Region,Hemisphere,Coloc_time,tau_time,Order
27,68,entorhinal,left,24.8,24.8,1
26,67,parahippocampal,left,27.66,27.66,2
29,70,inferiortemporal,left,28.11,28.11,3
25,66,fusiform,left,28.59,28.59,4
36,82,Left-Amygdala,left,29.4,29.4,5
28,69,temporalpole,left,31.2,31.2,6
30,71,middletemporal,left,32.6,32.6,7
19,60,inferiorparietal,left,35.15,35.15,8
24,65,lingual,left,35.54,35.54,9
23,64,lateraloccipital,left,35.74,35.74,10
31,72,bankssts,left,36.8,36.8,11
32,73,superiortemporal,left,37.07,37.07,12
15,56,isthmuscingulate,left,37.16,37.16,13
18,59,superiorparietal,left,37.77,37.77,14
20,61,precuneus,left,37.95,37.95,15
17,58,supramarginal,left,38.81,38.81,16
34,75,insula,left,41.84,41.84,17
1,42,lateralorbitofrontal,left,42.62,42.62,18
7,48,rostralmiddlefrontal,left,43.75,43.75,19
16,57,postcentral,left,44.16,44.16,20
14,55,posteriorcingulate,left,44.22,44.22,21
6,47,parsopercularis,left,44.49,44.49,22
21,62,cuneus,left,45.04,45.04,23
9,50,caudalmiddlefrontal,left,45.72,45.72,24
22,63,pericalcarine,left,45.82,45.82,25
5,46,parstriangularis,left,46.0,46.0,26
10,51,precentral,left,46.61,46.61,27
8,49,superiorfrontal,left,47.23,47.23,28
2,43,parsorbitalis,left,47.29,47.29,29
33,74,transversetemporal,left,47.4,47.4,30
12,53,rostralanteriorcingulate,left,48.03,48.03,31
4,45,medialorbitofrontal,left,48.78,48.78,32
13,54,caudalanteriorcingulate,left,50.5,50.5,33
11,52,paracentral,left,51.18,51.18,34
35,81,Left-Hippocampus,left,52.57,34.04,35
3,44,frontalpole,left,57.69,57.69,36
