RegionID,DKTID,Region,Hemisphere,Coloc_time,tau_time,Order
29,29,inferiortemporal,right,32.92,32.92,1
25,25,fusiform,right,32.94,32.94,2
26,26,parahippocampal,right,33.26,33.26,3
27,27,entorhinal,right,35.57,35.57,4
28,28,temporalpole,right,37.03,37.03,5
30,30,middletemporal,right,37.44,37.44,6
36,41,Right-Amygdala,right,37.49,37.49,7
15,15,isthmuscingulate,right,38.19,38.19,8
20,20,precuneus,right,38.61,38.61,9
19,19,inferiorparietal,right,39.74,39.74,10
31,31,bankssts,right,40.15,40.15,11
23,23,lateraloccipital,right,40.91,40.91,12
24,24,lingual,right,40.99,40.99,13
18,18,superiorparietal,right,41.42,41.42,14
32,32,superiortemporal,right,41.8,41.8,15
17,17,supramarginal,right,43.53,43.53,16
14,14,posteriorcingulate,right,43.85,43.85,17
1,1,lateralorbitofrontal,right,46.25,46.25,18
21,21,cuneus,right,46.94,46.94,19
34,34,insula,right,47.42,47.42,20
7,7,rostralmiddlefrontal,right,47.57,47.57,21
12,12,rostralanteriorcingulate,right,48.19,48.19,22
13,13,caudalanteriorcingulate,right,48.61,48.61,23
4,4,medialorbitofrontal,right,48.86,48.86,24
16,16,postcentral,right,48.99,48.99,25
11,11,paracentral,right,49.0,49.0,26
8,8,superiorfrontal,right,49.85,49.85,27
22,22,pericalcarine,right,49.87,49.87,28
5,5,parstriangularis,right,50.41,50.41,29
2,2,parsorbitalis,right,51.04,51.04,30
9,9,caudalmiddlefrontal,right,51.57,51.57,31
6,6,parsopercularis,right,51.91,51.91,32
10,10,precentral,right,52.41,52.41,33
33,33,transversetemporal,right,52.49,52.49,34
35,40,Right-Hippocampus,right,55.51,40.44,35
3,3,frontalpole,right,58.88,58.88,36
